s,h,vaf0,delta_t,fisher,cr_bound,identifiable
0.46,0.0,0.05,3.0,1280.721410668709,0.027942976468037985,1
0.46,0.0,0.05,5.0,1479.0244656817224,0.02600233330964763,1
0.46,0.0,0.05,6.63,1550.135216963483,0.02539891756467958,1
0.46,0.0,0.1,0.6,951.7375333671753,0.032414654849767716,1
0.46,0.0,0.1,1.5,1275.2651998685183,0.028002689553713114,1
0.46,0.0,0.1,3.0,1532.0128273295602,0.025548699556860528,1
0.46,0.0,0.1,5.0,1638.2778359279273,0.024706215322401016,1
0.46,0.0,0.1,6.63,1667.2732641655928,0.02449044108118397,1
0.46,0.0,0.15,0.6,1259.0435182673789,0.028182507368366864,1
0.46,0.0,0.15,1.5,1515.3306812859998,0.025688946347787286,1
0.46,0.0,0.15,3.0,1677.6711747028126,0.024414429400595662,1
0.46,0.0,0.15,5.0,1736.763137006842,0.02399549446606611,1
0.46,0.0,0.15,6.63,1750.0336494424132,0.023904342368423488,1
0.46,0.2,0.01,0.6,52.623380637156856,0.13785122433648275,1
0.46,0.2,0.01,1.5,113.90335898014855,0.09369830492846083,1
0.46,0.2,0.01,3.0,343.46611275123826,0.05395827442251561,1
0.46,0.2,0.01,5.0,561.4776706119928,0.04220207016924266,1
0.46,0.2,0.01,6.63,632.6213603934428,0.039758324510167656,1
0.46,0.2,0.03,0.6,150.43160950911894,0.08153244176112422,1
0.46,0.2,0.03,1.5,285.4099755483038,0.059192328676883135,1
0.46,0.2,0.03,3.0,544.0451825290636,0.042872865895655754,1
0.46,0.2,0.03,5.0,680.1082004992509,0.03834519885073005,1
0.46,0.2,0.03,6.63,732.33660533845,0.03695256832767082,1
0.46,0.2,0.05,0.6,239.24362640961272,0.06465167954562942,1
0.46,0.2,0.05,1.5,409.7286585715607,0.04940283014116807,1
0.46,0.2,0.05,3.0,637.9554005027035,0.03959176298185475,1
0.46,0.2,0.05,5.0,737.8049501047301,0.036815374077378366,1
0.46,0.2,0.05,6.63,774.838838504901,0.03592479588589663,1
0.46,0.2,0.1,0.6,427.8892363003893,0.048343080299137496,1
0.46,0.2,0.1,1.5,613.1633621704058,0.04038423882147891,1
0.46,0.2,0.1,3.0,763.0517817419028,0.03620120231862461,1
0.46,0.2,0.1,5.0,815.3751406303794,0.0350204132674939,1
0.46,0.2,0.1,6.63,828.2641759454989,0.03474685973869626,1
0.46,0.2,0.15,0.6,577.6312842913321,0.04160778980433381,1
0.46,0.2,0.15,1.5,738.5150698831548,0.036797669893735986,1
0.46,0.2,0.15,3.0,834.0964283108963,0.0346251664046575,1
