s,h,vaf0,delta_t,rho,identifiable
0.28,1.0,0.03,0.6,0.032678286450172005,0
0.28,1.0,0.03,1.5,0.06711838548907977,0
0.28,1.0,0.03,3.0,0.20232590908179995,0
0.28,1.0,0.03,5.0,0.5764408849420095,1
0.28,1.0,0.03,6.63,0.8425572486167067,1
0.28,1.0,0.05,0.6,0.05399809421543857,0
0.28,1.0,0.05,1.5,0.10838972490286854,0
0.28,1.0,0.05,3.0,0.30000042638432645,0
0.28,1.0,0.05,5.0,0.69692640856303,1
0.28,1.0,0.05,6.63,0.9004203756990047,1
0.28,1.0,0.1,0.6,0.10573583760254031,0
0.28,1.0,0.1,1.5,0.20116043941693318,0
0.28,1.0,0.1,3.0,0.4702707760758999,0
0.28,1.0,0.1,5.0,0.8264885784322128,1
0.28,1.0,0.1,6.63,0.9493165400439879,1
0.28,1.0,0.15,0.6,0.15535224738154874,0
0.28,1.0,0.15,1.5,0.28146130578691814,0
0.28,1.0,0.15,3.0,0.5800004946055374,1
0.28,1.0,0.15,5.0,0.8810881717184372,1
0.28,1.0,0.15,6.63,0.966817124695521,1
0.46,0.0,0.01,0.6,0.044624547887789266,0
0.46,0.0,0.01,1.5,0.13921559495130978,0
0.46,0.0,0.01,3.0,0.5617284128892628,1
0.46,0.0,0.01,5.0,0.9529422934546826,1
0.46,0.0,0.01,6.63,0.9948190875099415,1
0.46,0.0,0.03,0.6,0.1274678513963028,0
0.46,0.0,0.03,1.5,0.33591872282058266,0
0.46,0.0,0.03,3.0,0.8003470260500082,1
0.46,0.0,0.03,5.0,0.9844567680797496,1
0.46,0.0,0.03,6.63,0.9983376589702508,1
0.46,0.0,0.05,0.6,0.20274515651776648,0
0.46,0.0,0.05,1.5,0.46823668777322136,0
0.46,0.0,0.05,3.0,0.8746567360675761,1
0.46,0.0,0.05,5.0,0.9910114578349642,1
0.46,0.0,0.05,6.63,0.9990443621335334,1
0.46,0.0,0.1,0.6,0.3639422034201705,0
0.46,0.0,0.1,1.5,0.6645652551430585,1
0.46,0.0,0.1,3.0,0.9401222895496759,1
0.46,0.0,0.1,5.0,0.9959850431438774,1
0.46,0.0,0.1,6.63,0.9995750464472891,1
0.46,0.0,0.15,0.6,0.49517568461983835,0
0.46,0.0,0.15,1.5,0.7725387261895107,1
0.46,0.0,0.15,3.0,0.9641776008865821,1
0.46,0.0,0.15,5.0,0.9976540172424465,1
0.46,0.0,0.15,6.63,0.9997520665274978,1
0.46,0.2,0.01,0.6,0.03210516545459645,0
0.46,0.2,0.01,1.5,0.1030203619150166,0
0.46,0.2,0.01,3.0,0.47649072120513464,0
0.46,0.2,0.01,5.0,0.9349838463261009,1
0.46,0.2,0.01,6.63,0.9927198244333961,1
0.46,0.2,0.03,0.6,0.09295468189855124,0
0.46,0.2,0.03,1.5,0.26190700450092025,0
0.46,0.2,0.03,3.0,0.7376750994876407,1
0.46,0.2,0.03,5.0,0.9779882158862213,1
0.46,0.2,0.03,6.63,0.9976319549144028,1
0.46,0.2,0.05,0.6,0.14970083750648217,0
0.46,0.2,0.05,1.5,0.37872832057965566,0
0.46,0.2,0.05,3.0,0.8285024257479415,1
0.46,0.2,0.05,5.0,0.987068211506567,1
0.46,0.2,0.05,6.63,0.9986202202239044,1
0.46,0.2,0.1,0.6,0.27612611824548744,0
0.46,0.2,0.1,1.5,0.5691148139390784,1
0.46,0.2,0.1,3.0,0.9127942739320668,1
0.46,0.2,0.1,5.0,0.9939896304031265,1
0.46,0.2,0.1,6.63,0.9993627050813033,1
0.46,0.2,0.15,0.6,0.38431262345980877,0
0.46,0.2,0.15,1.5,0.6836759782539275,1
0.46,0.2,0.15,3.0,0.9448368451359966,1
0.46,0.2,0.15,5.0,0.9963183910901431,1
0.46,0.2,0.15,6.63,0.9996104454481322,1
0.46,0.4,0.01,0.6,0.025071402775877785,0
0.46,0.4,0.01,1.5,0.08176257498261114,0
0.46,0.4,0.01,3.0,0.4137131368814355,0
0.46,0.4,0.01,5.0,0.9176897427494174,1
0.46,0.4,0.01,6.63,0.9906294024128153,1
0.46,0.4,0.03,0.6,0.07314890049115652,0
0.46,0.4,0.03,1.5,0.2146204761105172,0
0.46,0.4,0.03,3.0,0.6841055694998774,1
0.46,0.4,0.03,5.0,0.9716041143906908,1
0.46,0.4,0.03,6.63,0.9969272478487411,1
0.46,0.4,0.05,0.6,0.11865664006823214,0
0.46,0.4,0.05,1.5,0.3179490213583206,0
0.46,0.4,0.05,3.0,0.7869749503678725,1
0.46,0.4,0.05,5.0,0.9831562212575501,1
0.46,0.4,0.05,6.63,0.9981964382983246,1
0.46,0.4,0.1,0.6,0.22245070081325355,0
0.46,0.4,0.1,1.5,0.4976396321141473,0
0.46,0.4,0.1,3.0,0.8870101524733771,1
0.46,0.4,0.1,5.0,0.9920021971212565,1
0.46,0.4,0.1,6.63,0.9991504539122062,1
0.46,0.4,0.15,0.6,0.31401006578361684,0
0.46,0.4,0.15,1.5,0.6131475104603265,1
0.46,0.4,0.15,3.0,0.9262567560887414,1
0.46,0.4,0.15,5.0,0.9949863363406674,1
0.46,0.4,0.15,6.63,0.9994688644860921,1
0.46,0.6,0.01,0.6,0.020565753143690066,0
0.46,0.6,0.01,1.5,0.0677770802343827,0
0.46,0.6,0.01,3.0,0.3655517465862521,0
0.46,0.6,0.01,5.0,0.9010237877475314,1
0.46,0.6,0.01,6.63,0.9885477657143388,1
0.46,0.6,0.03,0.6,0.06030068143597001,0
0.46,0.6,0.03,1.5,0.18179748288080788,0
0.46,0.6,0.03,3.0,0.6377896610501526,1
0.46,0.6,0.03,5.0,0.965302820489778,1
0.46,0.6,0.03,6.63,0.9962235356619964,1
0.46,0.6,0.05,0.6,0.09827654961228167,0
0.46,0.6,0.05,1.5,0.27398000276651946,0
0.46,0.6,0.05,3.0,0.74941177830475,1
0.46,0.6,0.05,5.0,0.9792751169287186,1
0.46,0.6,0.05,6.63,0.9977730158986916,1
